id,Clube Atacante,Ações Relevantes,Tipo de Ataque,Jogadores no Terço Final,Local da Assistência X,Local da Assistência Y,Local da Finalização X,Local da Finalização Y,Zona de Finalização,Toques na Bola,Resultado,Parte do Corpo,Jogadores na ZV,Direção da Finalização X,Direção da Finalização Y,Desvios,Clube Defensor,Jogadores Protegendo ZV,Jogadores Recompondo
190193833163660448,Arminia,Individual indireto,Contra Ataque,5.0,0.49699269,0.81566362,0.53655612,0.79985871,Zona amarela,1,Bloqueada,Pé,,,,,Adversário,,
190193875346051104,Arminia,Individual indireto; Passe profundidade,Contra Ataque,4.0,0.7581721,0.74424528,0.38730179,0.81774243,Zona vermelha,2,Bloqueada,Pé,2.0,,,,Adversário,,
190194139471334432,Arminia,Lançamento,Contra Ataque,2.0,0.36002575,0.12959175,0.70270795,0.83929807,Zona amarela,3+,Certa,Pé,,0.10837495,0.07281659,,Adversário,,
190195560806017504,Arminia,Pivô; Troca de passes,Ataque Rápido,,0.73021109,0.84268218,0.6554934,0.82733406,Zona amarela,1,Gol,Pé,,0.20191751,0.61640317,Goleiro,Adversário,,
190195634643553920,Arminia,Lançamento,Contra Ataque,2.0,0.11119441,0.56974293,0.42642436,0.85351508,Zona vermelha,2,Fora,Pé,1.0,,,,Adversário,,
190196155626507584,Arminia,Lançamento,Ataque Rápido,,0.70464862,0.43424079,0.35613106,0.84724461,Zona amarela,2,Fora,Pé,,,,,Adversário,,
190196194744816704,Arminia,,Recuperada no Ataque,,0.11207516,0.83734588,0.46255957,0.74864196,Zona verde,2,Bloqueada,Pé,,,,,Adversário,,
190196254999543296,Arminia,,Ataque Rápido,,0.62631197,0.7123227,0.52911423,0.74724787,Zona verde,3+,Bloqueada,Pé,,,,,Adversário,,
190196316377404160,Arminia,Passe funil; Pivô,Ataque Rápido,,0.55976008,0.83735085,0.63662134,0.85623793,Zona amarela,1,Fora,Pé,,,,,Adversário,,
190196397898250976,Arminia,Erro adversário; Passe profundidade,Contra Ataque,5.0,,,0.45405766,0.78884135,Zona amarela,2,Bloqueada,Pé,,,,,Adversário,,
190196562317513984,Arminia,Individual indireto; Passe profundidade; Cruzamento simples simples,Contra Ataque,4.0,0.78362014,0.82126679,0.38633051,0.84962261,Zona vermelha,1,Bloqueada,Pé,3.0,,,,Adversário,,
190196615155864224,Arminia,,Contra Ataque,4.0,,,0.28814796,0.74820517,Zona verde,3+,Certa,Pé,,0.61326067,0.51894327,,Adversário,,
190196659816641728,Arminia,,Ataque Rápido,,,,0.44447022,0.74385857,Zona verde,1,Certa,Pé,,0.4412222,0.72472125,,Adversário,,
190196703610854048,Arminia,,Ataque Rápido,,,,0.47864708,0.71046016,Zona verde,3+,Certa,Pé,,0.32936435,0.59071238,,Adversário,,
190196787713328992,Arminia,Pivô; Troca de passes,Ataque Posicional,,0.5079299,0.77553964,0.6086121,0.79785305,Zona amarela,3+,Fora,Pé,,,,,Adversário,,
190196854408485344,Arminia,Individual indireto; Troca de passes,Ataque Rápido,,0.69818946,0.79523056,0.64780819,0.816006,Zona amarela,2,Bloqueada,Pé,,,,,Adversário,,
190197407387112128,Arminia,Individual indireto; Passe profundidade,Ataque Posicional,,0.58626497,0.73085619,0.64522939,0.86748217,Zona amarela,1,Fora,Pé,,,,,Adversário,,
190197527756457248,Arminia,,Ataque Rápido,,,,0.49829987,0.70408889,Zona verde,1,Bloqueada,Pé,,,,,Adversário,,
190197577771484832,Arminia,Erro adversário,Recuperada no Ataque,,0.39128245,0.93706261,0.49949055,0.92301292,Zona vermelha,1,Gol,Pé,4.0,0.4552248,0.05336814,Defensor,Adversário,,
190197818007525824,Arminia,,Recuperada no Ataque,,,,0.39098291,0.75692212,Zona verde,3+,Bloqueada,Pé,,,,,Adversário,,
